score,school,gender,age,bullied,escs,skip_sch
68,AA,M,15.42,-1.228,-1.1346,0
61,AA,F,15.58,-1.228,-1.4154,0
50,AA,M,16.17,1.5884,-1.4144,0
52,AA,M,16.25,-1.228,0.2097,0
39,AA,M,15.83,0.8588,-0.4254,0
80,AA,M,15.42,-1.228,0.0412,1
91,AA,F,16.17,-0.1325,0.5539,1
48,AA,F,15.83,0.5504,0.0106,0
50,AA,F,16,0.1361,0.497,0
60,AA,M,16,0.8171,0.3453,1
50,AA,F,15.67,-1.228,0.6262,0
49,AA,M,16.08,0.7375,-1.0455,0
72,AA,F,15.75,-1.228,-0.4778,0
54,AA,M,15.75,0.379,-0.1644,0
61,AA,F,15.33,-1.228,-0.7303,0
57,AA,F,15.58,-1.1908,0.8448,0
57,AA,M,16.17,1.5323,-1.274,0
18,AB,F,15.5,-1.228,-0.7806,0
48,AB,F,15.83,-1.228,-0.7534,0
40,AB,F,15.58,-1.228,-1.2362,0
42,AB,F,15.5,-1.228,1.4371,0
52,AB,F,15.5,0.9186,-0.8731,0
48,AB,F,15.75,-0.1804,0.954,0
50,AB,F,16.08,0.2988,-0.3161,0
35,AB,F,15.5,3.8708,0.26,0
41,AB,F,15.75,0.6505,-0.0145,1
47,AB,F,16.25,0.1924,0.1708,0
42,AB,F,15.42,-0.267,-1.2438,0
76,AB,F,15.83,1.0274,-1.0491,0
52,AB,F,16,0.0959,0.8944,1
23,AB,F,15.5,0.638,-0.2372,0
26,AB,F,16.25,1.1008,-0.9459,0
18,AB,F,15.42,2.2044,-0.155,1
65,AB,F,15.42,-0.267,-0.0627,0
44,AB,F,15.58,0.2538,0.5349,0
83,AB,F,15.5,-1.228,-0.2979,0
80,AB,F,15.67,0.4829,1.2326,0
69,AB,F,15.92,-0.267,-0.2502,0
48,AB,F,15.67,-1.228,-1.1768,1
53,AB,F,15.92,0.0959,-1.2296,0
82,AB,F,15.75,0.4829,-0.1903,0
43,AB,F,15.67,-1.228,0.0547,0
40,AB,F,15.5,-1.228,0.5473,0
52,AB,F,16.08,-1.228,-1.2466,0
42,AB,F,15.42,0.7997,-1.3421,0
82,AB,F,15.58,-1.228,0.3334,0
25,AB,F,15.83,-0.3264,-1.5412,1
59,AB,F,16.08,-1.228,0.7044,0
77,AB,F,15.33,0.2988,1.2313,0
72,AB,F,15.92,-0.1325,-0.3843,0
28,AB,F,16.25,1.332,-0.0446,1
67,AB,F,15.42,-1.228,0.3942,0
32,AB,F,15.83,-1.228,-1.1806,0
29,AB,F,16.25,-1.228,0.5578,0
65,AB,F,15.42,0.2988,-0.3481,0
61,AB,F,15.83,-1.228,-0.1866,0
51,AB,F,15.92,0.2121,1.1971,0
59,AB,F,16.08,0.7712,0.1656,0
46,AB,F,16.17,-1.228,-0.8066,0
76,AB,F,15.75,-1.228,0.803,0
74,AB,F,15.67,-0.267,-0.7997,0
81,AB,F,15.67,0.3635,0.6071,1
63,AB,F,16.17,-0.2016,0.1665,0
59,AB,F,15.42,0.2121,0.621,0
73,AB,F,15.83,-1.228,1.0711,0
24,AB,F,16.08,1.1227,-1.093,0
52,AB,F,16.25,-1.228,0.0023,0
50,AB,F,15.33,0.2988,-0.0385,1
25,AB,F,16.17,0.8815,-2.1574,0
35,AB,F,15.58,0.379,-0.0518,0
56,AB,F,16.08,0.9271,0.0148,1
27,AB,F,15.83,1.0916,-0.9246,0
50,AB,F,15.83,0.7834,-0.8545,0
52,AB,F,15.42,-1.228,-1.3449,0
65,AB,F,16,1.2001,0.5603,0
72,AB,F,15.58,-1.228,-0.5323,0
52,AB,F,16.17,0.4079,0.2259,0
79,AB,F,15.75,-1.228,0.9052,0
42,AB,F,15.5,0.5504,0.0015,0
61,AB,F,16.25,0.2121,0.0529,0
36,AB,F,15.42,0.2988,0.6043,0
38,AB,F,16.25,0.2988,-0.0765,0
59,AB,F,16,-0.1325,0.2656,0
44,AB,F,15.67,-1.228,-0.8151,0
57,AB,F,15.67,-1.228,-1.4506,0
38,AB,F,16,1.3705,0.3481,0
