id,school,stratum,gender,age,bullied,escs,skip_sch,CM033Q01S,CM474Q01S,CM155Q01S,CM155Q04S,CM411Q01S,CM411Q02S,CM803Q01S,CM442Q02S,CM034Q01S,CM305Q01S,CM496Q01S,CM496Q02S,CM423Q01S,CM192Q01S,CM603Q01S,CM571Q01S,CM564Q01S,CM564Q02S,CM447Q01S,CM273Q01S,CM408Q01S,CM420Q01S,CM446Q01S,CM559Q01S,CM828Q03S,CM464Q01S,CM800Q01S,CM982Q01S,CM982Q02S,CM982Q03S,CM982Q04S,CM992Q01S,CM992Q02S,CM915Q01S,CM915Q02S,CM906Q01S,CM909Q01S,CM909Q02S,CM909Q03S,CM949Q01S,CM949Q02S,CM00GQ01S,CM955Q03S,CM905Q01S,CM919Q01S,CM919Q02S,CM954Q01S,CM954Q04S,CM943Q01S,CM943Q02S,CM953Q03S,CM948Q01S,CM948Q02S,CM948Q03S,CM936Q01S,CM939Q02S,CM967Q01S,CM967Q03S
9600213,9600001,BRN08,2,15.42,-1.228,-1.1346,0,,,,,,,,,,,0,0,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9600698,9600001,BRN08,1,15.58,-1.228,-1.4154,0,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
9600732,9600001,BRN08,2,16.17,1.5884,-1.4144,0,,,,,,,0,,,,,,,,,,,,0,,,,,1,,,,,,,,0,0,,,,,,,,,,,,1,0,,,,,,,,,,,,
9600998,9600001,BRN08,2,16.25,-1.228,0.2097,0,1,,,,,,,,,,,,,1,,,,,,0,,,,,0,,,,,,,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,
9601170,9600001,BRN08,2,15.83,0.8588,-0.4254,0,0,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
9601897,9600001,BRN08,2,15.42,-1.228,0.0412,1,,0,,,0,1,,,,1,,,,,0,1,0,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,1,,
9601950,9600001,BRN08,1,16.17,-0.1325,0.5539,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9602535,9600001,BRN08,1,15.83,0.5504,0.0106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,,,,,,,1,0,,,,,,,,
9602964,9600001,BRN08,1,16,0.1361,0.497,0,,,,,,,,,,,0,0,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
9603231,9600001,BRN08,2,16,0.8171,0.3453,1,,,,,1,0,,,,,,,,,0,,0,0,1,,,,,,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
9603286,9600001,BRN08,1,15.67,-1.228,0.6262,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,1,,,,,1,0,,,,,,,,
9603306,9600001,BRN08,2,16.08,0.7375,-1.0455,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,0,0,1,0,,,,
9603358,9600001,BRN08,1,15.75,-1.228,-0.4778,0,,,,,,,,,1,0,,,,,,,,,,,,,,,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,0,1,0,1,,,
9603505,9600001,BRN08,2,15.75,0.379,-0.1644,0,,0,,,0,1,,,,,1,1,1,,,,0,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
9604028,9600001,BRN08,1,15.33,-1.228,-0.7303,0,,0,,,0,0,,,0,,,,,,,1,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,1,,
9604033,9600001,BRN08,1,15.58,-1.1908,0.8448,0,,,1,1,,,,,,,,,,,,,,,,,,,,1,0,,,0,1,0,1,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,
9606039,9600001,BRN08,2,16.17,1.5323,-1.274,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,1,,,,,,,,1,,,0,0,,,,,,,,,,
9600012,9600002,BRN02,1,15.5,-1.228,-0.7806,0,,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,
9600032,9600002,BRN02,1,15.83,-1.228,-0.7534,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,0
9600084,9600002,BRN02,1,15.58,-1.228,-1.2362,0,,1,,,,,,,0,0,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0
9600095,9600002,BRN02,1,15.5,-1.228,1.4371,0,,,,,,,,,,,1,1,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
9600136,9600002,BRN02,1,15.5,0.9186,-0.8731,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9600175,9600002,BRN02,1,15.75,-0.1804,0.954,0,,1,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,0
9600381,9600002,BRN02,1,16.08,0.2988,-0.3161,0,0,,,,,,,,,,0,1,,1,,,,,,,,,,,,,,,,,,,,0,1,,,,,1,0,,,,,,,,,,,,,,,,,
9600383,9600002,BRN02,1,15.5,3.8708,0.26,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,0,,0,0,0,,,0,0
9600580,9600002,BRN02,1,15.75,0.6505,-0.0145,1,,,,,,,,,,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
9600582,9600002,BRN02,1,16.25,0.1924,0.1708,0,,,,,,,,,,0,,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,0,0,,,,
9600605,9600002,BRN02,1,15.42,-0.267,-1.2438,0,,,,,,,,,,,,,,,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
9600654,9600002,BRN02,1,15.83,1.0274,-1.0491,0,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
9600672,9600002,BRN02,1,16,0.0959,0.8944,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,0,,,,,,,,0,,
